id,type,price,condition,manufacturer,model,region,location,year,length_width,draft,displacement,material,steering,keel_type,ballast,no_persons,headroom,no_cabins,no_beds,propulsion,engine_perf,fuel_type,fuel_cap,engine_hours,mainsail,genoa,spinnaker,ad_date,no_views,no_favs
421180,Regatta Boat,"CHF 16.800,-",good condition,Precision Boats,11: metre one design,Switzerland » Lake of Zurich » ,Wald,1995,10.35 m x 2.56 m,1.90 m,1'600 kg,GRP,Tiller Steering,Bulb Keel,NA,6 Persons,NA,1 Cabin,6 beds,"Outboard, four-stroke",1 x 6.0 HP / 4.4 kW,Unleaded,NA,20 h,37 m²,NA,NA,22.12.2021,447,7
489215,Classic Sailing Yacht,"EUR 705.000,-",NA,Herreshoff,73,Portugal » ,Contact De Valk Portugal,1938,25.00 m x 4.60 m,2.50 m,43'000 kg,Wood,NA,NA,NA,NA,NA,4 Cabins,8 beds,NA,1 x 205 HP / 151 kW,Diesel,NA,100 h,NA,NA,NA,316,2,NA
489215,Classic Sailing Yacht,"EUR 705.000,-",NA,Herreshoff,73,Portugal » ,Contact De Valk Portugal,1938,25.00 m x 4.60 m,2.50 m,43'000 kg,Wood,NA,NA,NA,NA,NA,4 Cabins,8 beds,NA,1 x 205 HP / 151 kW,Diesel,NA,100 h,NA,NA,NA,316,2,NA
489214,Ketch,"EUR 189.000,-",NA,Colin Archer,Kvase 1350,Netherlands » ,Contact De Valk Monnickendam,1996,13.50 m x 4.20 m,2.20 m,20'000 kg,Steel,NA,NA,NA,NA,NA,2 Cabins,6 beds,NA,1 x 80 HP / 59 kW,Diesel,NA,NA,NA,NA,NA,443,9,NA
489206,Sailing Yacht,"EUR 135.000,-",NA,X-Yachts,X-43,Croatia (Hrvatska) » ,onbekend,2004,12.93 m x 3.97 m,2.50 m,NA,GRP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,590,20,NA
489205,Sailing Yacht,"EUR 164.900,-",NA,Jeanneau,Sun Odyssey 45,Netherlands » ,Barcelona,2008,13.72 m x 4.37 m,2.05 m,NA,PVC,NA,NA,NA,NA,NA,3 Cabins,6 beds,NA,1 x 75 HP / 55 kW,Diesel,NA,NA,NA,NA,NA,301,6,NA
489203,Sailing Yacht,"EUR 325.000,-",NA,Solaris,Zero,Italy » ,Tuscany,1990,19.70 m x 5.40 m,3.15 m,30'000 kg,NA,NA,NA,NA,NA,NA,6 Cabins,12 beds,NA,NA,Diesel,1'200 l,2'200 h,NA,NA,NA,269,4,NA
489190,Sailing Yacht,"EUR 31.500,-",good condition,Dufour,35,Greece » ,Samos,1973,10.75 m x 3.38 m,1.80 m,NA,GRP,Wheel control,Fin Keel,NA,8 Persons,185 cm,2 Cabins,8 beds,Inboard Direct-Drive,1 x 40 HP / 29 kW,Diesel,100 l,850 h,NA,NA,NA,21.12.2021,592,16
489188,Sailing Yacht,"CHF 120.000,-",As new,Bavaria,36C,Switzerland » ,Chevroux,2013,11.30 m x 3.67 m,1.63 m,7'000 kg,GRP,Wheel control,Fin Keel,NA,10 Persons,190 cm,3 Cabins,6 beds,NA,1 x 28 HP / 21 kW,Diesel,150 l,290 h,41 m² (Mast Furling),NA,NA,21.12.2021,1'119,19
489180,Sailing Yacht,"CHF 20.000,-",fair condition,Esslinger & Abt,ALPHA 32,Switzerland » Lake Constance » ,"Rietli, 9403 Goldach",1972,9.65 m x 3.00 m,1.60 m,3'800 kg,GRP,Tiller Steering,Long Keel,NA,8 Persons,200 cm,1 Cabin,5 beds,Inboard Direct-Drive,1 x 23 HP / 17 kW,Diesel,65 l,NA,17 m²,33 m² (Roller Furling),1 m²,21.12.2021,807,7
489165,Sailing Yacht,"EUR 120.000,-",good condition,Baltic,CC51,Italy » Toscana » ,Toscana,1991,15.80 m x 4.25 m,3.40 m,18'000 kg,GRP,Wheel control,Bulb Keel,8'000 kg,10 Persons,220 cm,3 Cabins,8 beds,Inboard Direct-Drive,1 x 88 HP / 65 kW,Diesel,300 l,1'440 h,70 m² (Battened Mainsail),50 m² (Roller Furling),150 m²,548,7,NA
467792,Cruising Yacht,"EUR 119.500,-",good condition,Jeanneau,Sun Odyssey 409 performance,Spain » Costa del Sol » ,"Puerto Deportivo de Fuengirola , 29640 Fuengirola",2011,11.99 m x 3.99 m,2.10 m,7'860 kg,GRP,Dual Wheel Control,Long Keel,NA,8 Persons,198 cm,3 Cabins,8 beds,Saildrive,1 x 40 HP / 29 kW,Diesel,200 l,3'000 h,43 m²,47 m²,NA,21.12.2021,699,227
489163,Sailing Yacht,"SEK 975.000,-",NA,NA,HP 1030,Sweden » ,Träslövsläge,2012,10.30 m x 3.28 m,2.15 m,3'660 kg,GRP,NA,NA,NA,NA,NA,NA,NA,NA,1 x 21 HP / 15 kW,NA,68 l,375 h,NA,NA,NA,422,3,NA
489155,Sailing Yacht,"EUR 3.450.000,-",NA,NA,Warwick 95 Sloop,Spain » ,Barcelona,2012,29.00 m x 6.79 m,3.66 m,90'000 kg,NA,NA,NA,NA,NA,NA,4 Cabins,8 beds,NA,NA,Diesel,6'000 l,3'000 h,NA,NA,NA,545,6,NA
489150,Cruising Yacht,"EUR 82.500,-",good condition,Bénéteau,Oceanis 393 Clipper,Portugal » Lisbon » ,Lisboa,2002,11.62 m x 3.96 m,1.82 m,NA,GRP,Wheel control,Fin Keel,NA,NA,NA,3 Cabins,6 beds,Inboard Direct-Drive,1 x 55 HP / 40 kW,Diesel,175 l,1'530 h,NA,NA,NA,571,17,NA
489052,Cruising Yacht,"EUR 16.500,-",good condition,Colvic,Ufo 31,Lithuania » ,Klaipeda,1979,9.41 m x 3.06 m,168.00 - 168.00 m,5'000 kg,Carbon Fiber,Tiller Steering,Fin Keel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.12.2021,532,5
489146,Cruising Yacht,"EUR 65.000,-",good condition,Jeanneau,Sun Odyssey 37,Spain » Mallorca » ,Marina Bonaire,2001,11.40 m x 3.62 m,1.95 m,6'000 kg,GRP,Wheel control,Long Keel,2'040 kg,8 Persons,190 cm,3 Cabins,8 beds,Inboard Direct-Drive,1 x 27 HP / 20 kW,Diesel,136 l,4'200 h,31 m² (Mast Furling),15 m² (Roller Furling),NA,20.12.2021,834,15
489143,Sailing Yacht,"EUR 180.000,-",As new,Hallberg-Rassy,342,Italy » Campania » ,Neapel,2012,10.32 m x 3.42 m,1.82 m,NA,GRP,Tiller Steering,Bulb Keel,1'950 kg,NA,191 cm,2 Cabins,6 beds,Saildrive,1 x 30 HP / 22 kW,Diesel,165 l,800 h,34 m²,NA,NA,SE-HRM34284C112,799,12
489133,Cruising Yacht,"EUR 105.000,-",good condition,Moody,500 Culverneer,Greece » ,Near Lountraki,1989,15.11 m x 4.47 m,2.06 m,12'500 kg,GRP,Wheel control,Fin Keel,NA,NA,NA,3 Cabins,6 beds,Inboard Direct-Drive,1 x 62 HP / 46 kW,Diesel,500 l,NA,NA,NA,NA,700,23,NA
489126,Cruising Yacht,"EUR 20.000,-",good condition,Jeanneau,Symphonie,Switzerland,NA,1980,9.50 m x 3.25 m,1.50 m,4'100 kg,GRP,Tiller Steering,Fin Keel,2'000 kg,8 Persons,180 cm,1 Cabin,6 beds,Inboard Direct-Drive,1 x 15 HP / 11 kW,Diesel,60 l,3'000 h,20 m² (Mast Furling),NA,NA,20.12.2021,994,8
480117,Sailing Yacht,"EUR 250.000,-",As new,Dehler,38,Germany » Ostsee » ,Stralsund,2016,11.64 m x 3.75 m,2.03 m,7'500 kg,GRP,Dual Wheel Control,Bulb Keel,NA,8 Persons,NA,3 Cabins,8 beds,Saildrive,1 x 38 HP / 28 kW,Diesel,160 l,536 h,80 m² (Battened Mainsail),NA,NA,12.12.2021,744,33
461548,Sailing Yacht,"EUR 230.000,-",As new,Hallberg-Rassy,HR42,Germany » Schleswig-Holstein » ,Kappeln,1984,13.00 m x 4.00 m,2.10 m,15'000 kg,GRP,Wheel control,Long Keel,NA,6 Persons,190 cm,3 Cabins,6 beds,Inboard Direct-Drive,1 x 72 HP / 53 kW,Diesel,300 l,1'530 h,NA,NA,NA,07.12.2021,1'016,33
